Player,Pos,3P,2P,TRB,AST,STL,BLK
Alex Abrines,SG,1.4,0.6,1.3,0.6,0.5,0.1
Steven Adams,C,0.0,4.7,7.7,1.1,1.1,1.0
Alexis Ajinca,C,0.0,2.3,4.5,0.3,0.5,0.6
Chris Andersen,C,0.0,0.8,2.6,0.4,0.4,0.6
Will Barton,SG,1.5,3.5,4.3,3.4,0.8,0.5
Nicolas Batum,SG,1.8,3.4,6.2,5.9,1.1,0.4
Bradley Beal,SG,2.9,5.4,3.1,3.5,1.1,0.3
Marco Belinelli,SG,1.4,2.2,2.4,2.0,0.6,0.1
Patrick Beverley,SG,1.6,1.8,5.9,4.2,1.5,0.4
Bismack Biyombo,C,0.0,2.2,7.0,0.9,0.3,1.1
Tarik Black,C,0.0,2.2,5.1,0.6,0.4,0.7
Andrew Bogut,C,0.0,1.4,8.1,1.8,0.5,0.9
Devin Booker,SG,1.9,5.9,3.2,3.4,0.9,0.3
Avery Bradley,SG,2.0,4.6,6.1,2.2,1.2,0.2
Kentavious Caldwell-Pope,SG,2.0,2.9,3.3,2.5,1.2,0.2
Clint Capela,C,0.0,5.6,8.1,1.0,0.5,1.2
Willie Cauley-Stein,C,0.0,3.4,4.5,1.1,0.7,0.6
Jordan Clarkson,SG,1.4,4.4,3.0,2.6,1.1,0.1
DeMarcus Cousins,C,1.8,7.2,11.0,4.6,1.4,1.3
Allen Crabbe,SG,1.7,2.1,2.9,1.2,0.7,0.3
Jamal Crawford,SG,1.4,3.0,1.6,2.6,0.7,0.2
Jordan Crawford,SG,1.9,3.6,1.8,3.0,0.6,0.1
Troy Daniels,SG,2.1,0.7,1.5,0.7,0.3,0.1
Anthony Davis,C,0.5,9.7,11.8,2.1,1.3,2.2
Dewayne Dedmon,C,0.0,2.1,6.5,0.6,0.5,0.8
Andre Drummond,C,0.0,5.9,13.8,1.1,1.5,1.1
Wayne Ellington,SG,2.4,1.3,2.1,1.1,0.6,0.1
Joel Embiid,C,1.2,5.3,7.8,2.1,0.9,2.5
Evan Fournier,SG,1.9,4.1,3.1,3.0,1.0,0.1
Channing Frye,C,1.9,1.4,3.9,0.6,0.4,0.5
Marc Gasol,C,1.4,5.8,6.3,4.6,0.9,1.3
Pau Gasol,C,0.9,3.9,7.8,2.3,0.4,1.1
Manu Ginobili,SG,1.3,1.2,2.3,2.7,1.2,0.2
Rudy Gobert,C,0.0,5.1,12.8,1.2,0.6,2.6
Eric Gordon,SG,3.3,2.2,2.7,2.5,0.6,0.5
Marcin Gortat,C,0.0,4.8,10.4,1.5,0.5,0.7
Danny Green,SG,1.7,0.9,3.3,1.8,1.0,0.8
Justin Hamilton,C,0.9,1.9,4.1,0.9,0.5,0.7
A.J. Hammons,C,0.2,0.5,1.6,0.2,0.0,0.6
Tim Hardaway,SG,1.9,3.4,2.8,2.3,0.7,0.2
Montrezl Harrell,C,0.0,3.9,3.8,1.1,0.3,0.7
Gary Harris,SG,1.9,3.7,3.1,2.9,1.2,0.1
Joe Harris,SG,1.6,1.3,2.8,1.0,0.6,0.2
John Henson,C,0.0,2.7,5.1,1.0,0.5,1.3
Roy Hibbert,C,0.0,1.7,3.2,0.4,0.2,1.0
Buddy Hield,SG,1.8,2.2,3.3,1.5,0.5,0.1
Nene Hilario,C,0.0,3.6,4.2,1.0,0.8,0.6
Justin Holiday,SG,1.2,1.7,2.7,1.2,0.8,0.4
Richaun Holmes,C,0.5,3.6,5.5,1.0,0.7,1.0
Rodney Hood,SG,1.9,2.7,3.4,1.6,0.6,0.2
Al Horford,C,1.3,4.3,6.8,5.0,0.8,1.3
Dwight Howard,C,0.0,5.2,12.7,1.4,0.9,1.2
Nikola Jokic,C,0.6,6.2,9.8,4.9,0.8,0.8
DeAndre Jordan,C,0.0,5.1,13.8,1.2,0.6,1.7
Frank Kaminsky,C,1.5,2.7,4.5,2.2,0.6,0.5
Sean Kilpatrick,SG,1.5,2.9,4.0,2.2,0.6,0.1
Kyle Korver,SG,2.4,1.1,2.8,1.6,0.5,0.3
Kosta Koufos,C,0.0,3.0,5.7,0.7,0.5,0.7
Zach LaVine,SG,2.6,4.4,3.4,3.0,0.9,0.2
Courtney Lee,SG,1.4,2.8,3.4,2.3,1.1,0.3
Alex Len,C,0.0,2.9,6.6,0.6,0.5,1.3
Brook Lopez,C,1.8,5.6,5.4,2.3,0.5,1.7
Robin Lopez,C,0.0,4.7,6.4,1.0,0.2,1.4
Ian Mahinmi,C,0.0,2.1,4.8,0.6,1.1,0.8
Wesley Matthews,SG,2.4,2.2,3.5,2.9,1.1,0.2
C.J. McCollum,SG,2.3,6.3,3.6,3.6,0.9,0.5
JaVale McGee,C,0.0,2.7,3.2,0.2,0.2,0.9
Ben McLemore,SG,1.1,1.9,2.1,0.8,0.5,0.1
Jodie Meeks,SG,1.6,1.3,2.1,1.3,0.9,0.1
Salah Mejri,C,0.0,1.2,4.2,0.2,0.4,0.8
E'Twaun Moore,SG,1.1,2.8,2.1,2.2,0.7,0.4
Timofey Mozgov,C,0.0,3.1,4.9,0.8,0.3,0.6
Jamal Murray,SG,1.4,2.2,2.6,2.1,0.6,0.3
Victor Oladipo,SG,1.9,4.3,4.3,2.6,1.2,0.3
Georgios Papagiannis,C,0.0,2.5,3.9,0.9,0.1,0.8
Mason Plumlee,C,0.0,4.1,7.5,3.5,0.9,1.1
J.J. Redick,SG,2.6,2.5,2.2,1.4,0.7,0.2
Willie Reed,C,0.0,2.3,4.7,0.4,0.3,0.7
Josh Richardson,SG,1.4,2.4,3.2,2.6,1.1,0.7
Austin Rivers,SG,1.5,2.9,2.2,2.8,0.6,0.1
Iman Shumpert,SG,1.2,1.4,2.9,1.4,0.8,0.4
Marcus Smart,SG,1.2,2.2,3.9,4.6,1.6,0.4
J.R. Smith,SG,2.3,0.7,2.8,1.5,1.0,0.3
Jason Smith,C,0.5,1.9,3.5,0.5,0.3,0.7
Tony Snell,SG,1.8,1.3,3.1,1.2,0.7,0.2
Marreese Speights,C,1.3,1.7,4.5,0.8,0.3,0.5
Nik Stauskas,SG,1.7,1.5,2.8,2.4,0.6,0.4
Edy Tavares,C,0.0,2.0,5.5,0.5,0.0,3.0
Garrett Temple,SG,1.3,1.6,2.8,2.6,1.3,0.4
Klay Thompson,SG,3.4,4.8,3.7,2.1,0.8,0.5
Tristan Thompson,C,0.0,3.4,9.2,1.0,0.5,1.1
Karl-Anthony Towns,C,1.2,8.5,12.3,2.7,0.7,1.3
Myles Turner,C,0.5,5.0,7.3,1.3,0.9,2.1
Jonas Valanciunas,C,0.0,4.9,9.5,0.7,0.5,0.8
Denzel Valentine,SG,1.3,0.5,2.6,1.1,0.5,0.1
Nikola Vucevic,C,0.3,6.1,10.4,2.8,1.0,1.0
Dwyane Wade,SG,0.8,6.2,4.5,3.8,1.4,0.7
Dion Waiters,SG,1.8,4.3,3.3,4.3,0.9,0.4
Hassan Whiteside,C,0.0,7.0,14.1,0.7,0.7,2.1
Lou Williams,SG,2.0,3.3,2.5,3.0,1.0,0.2
